Unnamed: 0,class,type,date,value,percentage,aacc,unit
290,bioenergy,Renovable,2015-01-01,27636.768,0.0564500953049912,Navarra,MWh
291,oil_gas,No-Renovable,2015-01-01,63153.762,0.128996121535222,Navarra,MWh
292,others,Generación total,2015-01-01,489578.766,1.0,Navarra,MWh
293,,Renovable,2015-01-01,27133.953,0.0149125073587833,Valencia,MWh
294,hydropower,No-Renovable,2015-01-01,105543.78,0.0580056431852671,Valencia,MWh
295,nuclear,No-Renovable,2015-01-01,790443.58,0.434418667396271,Valencia,MWh
296,oil_gas,No-Renovable,2015-01-01,0.322,1.769674831208058e-07,Valencia,MWh
297,oil_gas,No-Renovable,2015-01-01,381840.09,0.2098549058444781,Valencia,MWh
298,,Renovable,2015-01-01,320828.78,0.1763237941283189,Valencia,MWh
299,solar,Renovable,2015-01-01,36561.775,0.0200939295036621,Valencia,MWh
300,solar,Renovable,2015-01-01,4567.882,0.0025104552196671,Valencia,MWh
301,bioenergy,Renovable,2015-01-01,2882.717,0.0015843079877004,Valencia,MWh
302,oil_gas,No-Renovable,2015-01-01,116293.764,0.0639137103034936,Valencia,MWh
303,coal,Renovable,2015-01-01,33446.667,0.0183819021048748,Valencia,MWh
304,others,Generación total,2015-01-01,1819543.31,1.0,Valencia,MWh
305,,Renovable,2015-01-01,65475.528,0.0379500228919821,Extremadura,MWh
306,hydropower,No-Renovable,2015-01-01,7889.564,0.0045728403199399,Extremadura,MWh
307,nuclear,No-Renovable,2015-01-01,1501257.862,0.8701383855914556,Extremadura,MWh
308,solar,Renovable,2015-01-01,66691.635,0.0386548860660385,Extremadura,MWh
309,solar,Renovable,2015-01-01,59476.51,0.0344729547814445,Extremadura,MWh
310,bioenergy,Renovable,2015-01-01,20658.113,0.0119735706637624,Extremadura,MWh
311,oil_gas,No-Renovable,2015-01-01,3860.103,0.0022373396853769,Extremadura,MWh
312,others,Generación total,2015-01-01,1725309.3149999997,1.0,Extremadura,MWh
313,,Renovable,2015-01-01,785057.535,0.2692100166643979,Galicia,MWh
314,hydropower,No-Renovable,2015-01-01,6104.182,0.0020932312151395,Galicia,MWh
315,coal,No-Renovable,2015-01-01,1147958.392,0.3936550941331394,Galicia,MWh
316,oil_gas,No-Renovable,2015-01-01,61203.646,0.0209878051289348,Galicia,MWh
317,,Renovable,2015-01-01,657535.626,0.2254805144095525,Galicia,MWh
318,solar,Renovable,2015-01-01,900.399,0.0003087626307473,Galicia,MWh
319,bioenergy,Renovable,2015-01-01,18303.37,0.0062765470338612,Galicia,MWh
320,oil_gas,No-Renovable,2015-01-01,212357.442,0.0728210964813284,Galicia,MWh
321,coal,Renovable,2015-01-01,13366.0875,0.0045834661514493,Galicia,MWh
322,bioenergy,Renovable,2015-01-01,13366.0875,0.0045834661514493,Galicia,MWh
323,others,Generación total,2015-01-01,2916152.767,1.0,Galicia,MWh
324,,Renovable,2015-01-01,14416.099,0.0836577185129998,La Rioja,MWh
325,oil_gas,No-Renovable,2015-01-01,14635.654,0.0849318128701571,La Rioja,MWh
326,,Renovable,2015-01-01,129015.928,0.7486892389069645,La Rioja,MWh
