project,unit,capacity,type,status,start_year,owner,operator,country,url,lat,lng,accuracy
Changjiang nuclear power plant,2,650.0,nuclear,operating,2016.0,Huaneng Nuclear Power Development CO LTD [51%]; China Nuclear Power CORP [49%],Huaneng Hainan Changjiang Nuclear Power CO LTD,China,https://gem.wiki/Changjiang_nuclear_power_plant,19.4606,108.9006,Approximate
Changjiang nuclear power plant,3,1197.0,nuclear,construction,2026.0,Huaneng Nuclear Power Development CO LTD [51%]; China Nuclear Power CORP [49%],Huaneng Hainan Changjiang Nuclear Power CO LTD,China,https://gem.wiki/Changjiang_nuclear_power_plant,19.4606,108.9006,Approximate
Changjiang nuclear power plant,4,1200.0,nuclear,construction,2026.0,Huaneng Nuclear Power Development CO LTD [51%]; China Nuclear Power CORP [49%],Huaneng Hainan Changjiang Nuclear Power CO LTD,China,https://gem.wiki/Changjiang_nuclear_power_plant,19.4606,108.9006,Approximate
Chengde nuclear power plant,1,1250.0,nuclear,cancelled,,China General Nuclear Power Group CO LTD,CGN Hebei Nuclear Power CO LTD,China,https://gem.wiki/Chengde_nuclear_power_plant,40.4382,118.3576,Approximate
Chengde nuclear power plant,2,1250.0,nuclear,cancelled,,China General Nuclear Power Group CO LTD,CGN Hebei Nuclear Power CO LTD,China,https://gem.wiki/Chengde_nuclear_power_plant,40.4382,118.3576,Approximate
Chengde nuclear power plant,3,1250.0,nuclear,cancelled,,China General Nuclear Power Group CO LTD,CGN Hebei Nuclear Power CO LTD,China,https://gem.wiki/Chengde_nuclear_power_plant,40.4382,118.3576,Approximate
Chengde nuclear power plant,4,1250.0,nuclear,cancelled,,China General Nuclear Power Group CO LTD,CGN Hebei Nuclear Power CO LTD,China,https://gem.wiki/Chengde_nuclear_power_plant,40.4382,118.3576,Approximate
China Experimental Fast Reactor (CEFR) nuclear power plant,,25.0,nuclear,operating,2011.0,China National Nuclear CORP,China Institute Of Atomic Energy,China,https://gem.wiki/China_Experimental_Fast_Reactor_(CEFR)_nuclear_power_plant,39.7408,116.0303,Exact
CNNC ACP100S nuclear power plant,1,125.0,nuclear,cancelled,,China National Nuclear Power CO LTD [50%]; Yantai Taihai Group CO LTD [35%]; Yantai Blue Sky Investment Holdings CO LTD [15%],CNNC Taihai Clean Energy (Shandong) CO LTD,China,https://gem.wiki/CNNC_ACP100S_nuclear_power_plant,37.49364,121.4435,Approximate
CNNC ACP100S nuclear power plant,2,125.0,nuclear,cancelled,,China National Nuclear Power CO LTD [50%]; Yantai Taihai Group CO LTD [35%]; Yantai Blue Sky Investment Holdings CO LTD [15%],CNNC Taihai Clean Energy (Shandong) CO LTD,China,https://gem.wiki/CNNC_ACP100S_nuclear_power_plant,37.49364,121.4435,Approximate
CNNC ACP100S nuclear power plant,3,125.0,nuclear,cancelled,,China National Nuclear Power CO LTD [50%]; Yantai Taihai Group CO LTD [35%]; Yantai Blue Sky Investment Holdings CO LTD [15%],CNNC Taihai Clean Energy (Shandong) CO LTD,China,https://gem.wiki/CNNC_ACP100S_nuclear_power_plant,37.49364,121.4435,Approximate
CNNC ACP100S nuclear power plant,4,125.0,nuclear,cancelled,,China National Nuclear Power CO LTD [50%]; Yantai Taihai Group CO LTD [35%]; Yantai Blue Sky Investment Holdings CO LTD [15%],CNNC Taihai Clean Energy (Shandong) CO LTD,China,https://gem.wiki/CNNC_ACP100S_nuclear_power_plant,37.49364,121.4435,Approximate
Daya Bay nuclear power plant,1,984.0,nuclear,operating,1994.0,Guandong Nuclear Power Joint Venture Company LTD,Daya Bay Nuclear Power Operations And Management CO LTD,China,https://gem.wiki/Daya_Bay_nuclear_power_plant,22.59801,114.5434,Exact
Daya Bay nuclear power plant,2,984.0,nuclear,operating,1994.0,Guandong Nuclear Power Joint Venture Company LTD,Daya Bay Nuclear Power Operations And Management CO LTD,China,https://gem.wiki/Daya_Bay_nuclear_power_plant,22.59801,114.5434,Exact
Donggang nuclear power plant,1,1150.0,nuclear,cancelled,,China Huadian Group CO LTD,,China,https://gem.wiki/Donggang_nuclear_power_plant,39.7895,123.5988,Approximate
